path,format,width,height,bytes,exif_ms,full_decode_ms,full_resize_hash_ms,full_decode_result,captured_at_source,fast_hash_ms,decode_source,fast_hash_result
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-38-13_913.jpeg,jpeg,4284,5712,4844034,0.09,106.71,171.51,ok,exif_original,0.99,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-38-16_994.jpeg,jpeg,4284,5712,4410086,0.10,103.85,171.73,ok,exif_original,1.02,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-38-19_215.jpeg,jpeg,4284,5712,4150591,0.10,99.96,171.53,ok,exif_original,1.05,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-43-12_624.jpeg,jpeg,4284,5712,3989350,0.08,97.58,171.30,ok,exif_original,1.02,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-43-23_384.jpeg,jpeg,4284,5712,4068991,0.07,98.28,171.10,ok,exif_original,1.04,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-43-26_538.jpeg,jpeg,4284,5712,4057748,0.08,97.22,171.49,ok,exif_original,1.04,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-43-28_629.jpeg,jpeg,4284,5712,4036745,0.07,95.87,171.31,ok,exif_original,0.93,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-43-30_193.jpeg,jpeg,4284,5712,3567587,0.07,92.15,171.10,ok,exif_original,0.95,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-43-31_778.jpeg,jpeg,4284,5712,3810843,0.07,94.22,171.82,ok,exif_original,1.04,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-43-36_916.jpeg,jpeg,4284,5712,3700939,0.15,92.34,171.96,ok,exif_original,1.24,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-43-38_079.jpeg,jpeg,4284,5712,3656588,0.07,93.78,171.83,ok,exif_original,0.95,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-43-46_003.jpeg,jpeg,3024,4032,2499296,0.10,51.16,75.63,ok,exif_original,0.98,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-43-47_763.jpeg,jpeg,3024,4032,2716283,0.14,53.17,75.83,ok,exif_original,1.03,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-43-48_754.jpeg,jpeg,3024,4032,2732643,0.07,53.78,76.39,ok,exif_original,0.97,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-43-50_194.jpeg,jpeg,3024,4032,2745341,0.15,53.70,75.85,ok,exif_original,1.09,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-43-51_002.jpeg,jpeg,3024,4032,2762624,0.07,53.57,76.08,ok,exif_original,1.02,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-43-58_342.jpeg,jpeg,3024,4032,2525683,0.07,50.43,76.31,ok,exif_original,1.05,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-43-59_141.jpeg,jpeg,3024,4032,2585303,0.07,51.49,74.52,ok,exif_original,0.97,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-44-00_460.jpeg,jpeg,3024,4032,2554116,0.07,51.36,74.91,ok,exif_original,0.94,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-44-01_577.jpeg,jpeg,3024,4032,2612098,0.08,52.18,75.19,ok,exif_original,1.05,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-44-02_848.jpeg,jpeg,3024,4032,2642362,0.09,52.28,75.37,ok,exif_original,1.00,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-44-04_025.jpeg,jpeg,3024,4032,2523112,0.08,51.90,76.13,ok,exif_original,0.97,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-44-05_639.jpeg,jpeg,3024,4032,2424943,0.08,51.93,75.04,ok,exif_original,1.07,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-44-07_968.jpeg,jpeg,3024,4032,2522711,0.08,51.20,76.13,ok,exif_original,1.02,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-44-09_304.jpeg,jpeg,3024,4032,2490623,0.08,49.95,76.02,ok,exif_original,1.01,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-44-12_897.jpeg,jpeg,3024,4032,2925143,0.14,55.21,74.73,ok,exif_original,1.17,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-44-13_387.jpeg,jpeg,3024,4032,2577973,0.07,51.96,74.76,ok,exif_original,1.11,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-44-14_413.jpeg,jpeg,3024,4032,2638457,0.07,51.87,75.49,ok,exif_original,1.06,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-44-15_060.jpeg,jpeg,3024,4032,2558559,0.08,51.52,75.81,ok,exif_original,1.05,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-44-16_512.jpeg,jpeg,3024,4032,2609398,0.07,52.07,76.11,ok,exif_original,0.98,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-44-17_960.jpeg,jpeg,3024,4032,2589895,0.08,51.71,76.54,ok,exif_original,1.06,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-44-18_600.jpeg,jpeg,3024,4032,2678536,0.08,52.71,76.18,ok,exif_original,1.08,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-47-55_482.jpeg,jpeg,2160,2880,2958501,0.08,46.64,23.33,ok,exif_original,0.97,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-47-56_489.jpeg,jpeg,2160,2880,3121153,0.08,48.22,23.00,ok,exif_original,0.96,exif_thumbnail,ok
