path,result,full_hash,thumb_hash,scaled_hash,fast_resize_hash,full_ms,thumb_ms,scaled_ms,fast_resize_ms,thumb_hamming,scaled_hamming,fast_resize_hamming
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-10_096.jpeg,ok,5e62a36a332b3d3e,5f22a36a332f3d3e,5f62a36a332f3d3e,5e62a35a322b7d3e,137.92,1.76,42.72,74.62,3,2,4
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-11_293.jpeg,ok,ad4262d263635b3c,9d4262da63735b3c,bd4262d263637b3c,a9426adee3a31b7c,139.63,1.87,44.63,75.40,4,2,9
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-12_264.jpeg,ok,7ea17165391b2d3e,3ea17165391b2d3e,3ea17165391b2d3e,76a15165695b2f3e,137.18,1.64,40.93,72.43,1,1,6
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-25_001.jpeg,ok,b1513736353f9f91,b1513736353f9f93,b1513736353f9f93,a1513736253f9791,135.61,1.63,39.50,71.91,1,1,3
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-25_678.jpeg,ok,90513f37a79f9fd1,90503f37b79fdfd1,90503f37a79f9fd1,92513737a59ac7d1,134.67,1.81,38.88,70.43,3,1,8
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-26_426.jpeg,ok,90503517279f9fd3,90503537279f9fdb,90503517279f9fd3,90523d16259f9fd3,133.32,1.98,37.59,69.82,2,0,4
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-27_459.jpeg,ok,a5517512372d9f93,a1513512372d9f93,a5517512372d9f93,a5516d12172d9f93,136.62,1.63,41.60,72.70,2,0,3
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-28_682.jpeg,ok,a790511b17373f9f,a790511b1737bf9f,a790511b17373f9f,a7d0551717253f97,137.66,1.87,42.19,73.88,1,0,7
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-30_495.jpeg,ok,c0a8ba889b979f9f,c0a8ba889b979f9b,c0a8ba899b979f9b,d0a8baa9bbb58a9b,134.81,1.55,37.18,69.22,1,2,10
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-31_772.jpeg,ok,c8a89a8c0d1a4f4f,c8a89a8c0c1a4f4f,c8a89a8c0d1a4f4f,d8a9968e0d1b4b4d,136.59,1.68,40.73,72.17,1,0,8
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-34_307.jpeg,ok,a1716d12333f3fb3,a1716d12133f1fb3,a1716d12333f1fb3,a1516d56533d3fa3,135.37,1.58,38.52,70.95,2,1,7
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-37_281.jpeg,ok,8300a0949c809806,870080948c809806,870080949c809806,8530a2948da19856,139.99,2.08,44.39,75.53,3,2,11
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-37_776.jpeg,ok,870080948e819806,830080948e819806,870080948e819806,851082948d819846,139.32,1.72,43.29,74.43,1,0,6
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-41_631.jpeg,ok,00c6c04cceca5119,00c6c04cceca5119,00c6c04cceca5119,00c6d24cce4a5159,123.75,2.13,44.73,76.54,0,0,4
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-43_011.jpeg,ok,0086808c9c88c119,0086808c9c888119,0086808c9c88c119,028e909c9c888119,123.18,1.79,43.71,75.95,1,0,5
